Code,Definition
O98.511,"Other viral diseases complicating pregnancy, first trimester"
O98.512,"Other viral diseases complicating pregnancy, second trimester"
O98.513,"Other viral diseases complicating pregnancy, third trimester"
O98.519,"Other viral diseases complicating pregnancy, unspecified trimester"
O98.52,Other viral diseases complicating childbirth
O98.53,Other viral diseases complicating the puerperium
O98.611,"Protozoal diseases complicating pregnancy, first trimester"
O98.612,"Protozoal diseases complicating pregnancy, second trimester"
O98.613,"Protozoal diseases complicating pregnancy, third trimester"
O98.619,"Protozoal diseases complicating pregnancy, unspecified trimester"
O98.62,Protozoal diseases complicating childbirth
O98.63,Protozoal diseases complicating the puerperium
O98.711,"Human immunodeficiency virus [HIV] disease complicating pregnancy, first trimester"
O98.712,"Human immunodeficiency virus [HIV] disease complicating pregnancy, second trimester"
O98.713,"Human immunodeficiency virus [HIV] disease complicating pregnancy, third trimester"
O98.719,"Human immunodeficiency virus [HIV] disease complicating pregnancy, unspecified trimester"
O98.72,Human immunodeficiency virus [HIV] disease complicating childbirth
O98.73,Human immunodeficiency virus [HIV] disease complicating the puerperium
O98.811,"Other maternal infectious and parasitic diseases complicating pregnancy, first trimester"
O98.812,"Other maternal infectious and parasitic diseases complicating pregnancy, second trimester"
O98.813,"Other maternal infectious and parasitic diseases complicating pregnancy, third trimester"
O98.819,"Other maternal infectious and parasitic diseases complicating pregnancy, unspecified trimester"
O98.82,Other maternal infectious and parasitic diseases complicating childbirth
O98.83,Other maternal infectious and parasitic diseases complicating the puerperium
O98.911,"Unspecified maternal infectious and parasitic disease complicating pregnancy, first trimester"
O98.912,"Unspecified maternal infectious and parasitic disease complicating pregnancy, second trimester"
O98.913,"Unspecified maternal infectious and parasitic disease complicating pregnancy, third trimester"
O98.919,"Unspecified maternal infectious and parasitic disease complicating pregnancy, unspecified trimester"
O98.92,Unspecified maternal infectious and parasitic disease complicating childbirth
O98.93,Unspecified maternal infectious and parasitic disease complicating the puerperium
O99.011,"Anemia complicating pregnancy, first trimester"
O99.012,"Anemia complicating pregnancy, second trimester"
O99.013,"Anemia complicating pregnancy, third trimester"
O99.019,"Anemia complicating pregnancy, unspecified trimester"
O99.02,Anemia complicating childbirth
O99.03,Anemia complicating the puerperium
O99.111,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, first trimester"
O99.112,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, second trimester"
O99.113,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, third trimester"
O99.119,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, unspecified trimester"
O99.12,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating childbirth
O99.13,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating the puerperium
O99.210,"Obesity complicating pregnancy, unspecified trimester"
O99.211,"Obesity complicating pregnancy, first trimester"
O99.212,"Obesity complicating pregnancy, second trimester"
O99.213,"Obesity complicating pregnancy, third trimester"
O99.214,Obesity complicating childbirth
O99.215,Obesity complicating the puerperium
O99.280,"Endocrine, nutritional and metabolic diseases complicating pregnancy, unspecified trimester"
O99.281,"Endocrine, nutritional and metabolic diseases complicating pregnancy, first trimester"
O99.282,"Endocrine, nutritional and metabolic diseases complicating pregnancy, second trimester"
O99.283,"Endocrine, nutritional and metabolic diseases complicating pregnancy, third trimester"
O99.284,"Endocrine, nutritional and metabolic diseases complicating childbirth"
O99.285,"Endocrine, nutritional and metabolic diseases complicating the puerperium"
O99.310,"Alcohol use complicating pregnancy, unspecified trimester"
O99.311,"Alcohol use complicating pregnancy, first trimester"
O99.312,"Alcohol use complicating pregnancy, second trimester"
O99.313,"Alcohol use complicating pregnancy, third trimester"
O99.314,Alcohol use complicating childbirth
O99.315,Alcohol use complicating the puerperium
O99.320,"Drug use complicating pregnancy, unspecified trimester"
O99.321,"Drug use complicating pregnancy, first trimester"
O99.322,"Drug use complicating pregnancy, second trimester"
O99.323,"Drug use complicating pregnancy, third trimester"
O99.324,Drug use complicating childbirth
O99.325,Drug use complicating the puerperium
O99.330,"Smoking (tobacco) complicating pregnancy, unspecified trimester"
O99.331,"Smoking (tobacco) complicating pregnancy, first trimester"
O99.332,"Smoking (tobacco) complicating pregnancy, second trimester"
O99.333,"Smoking (tobacco) complicating pregnancy, third trimester"
O99.334,Smoking (tobacco) complicating childbirth
O99.335,Smoking (tobacco) complicating the puerperium
O99.340,"Other mental disorders complicating pregnancy, unspecified trimester"
O99.341,"Other mental disorders complicating pregnancy, first trimester"
O99.342,"Other mental disorders complicating pregnancy, second trimester"
O99.343,"Other mental disorders complicating pregnancy, third trimester"
O99.344,Other mental disorders complicating childbirth
O99.345,Other mental disorders complicating the puerperium
O99.350,"Diseases of the nervous system complicating pregnancy, unspecified trimester"
O99.351,"Diseases of the nervous system complicating pregnancy, first trimester"
O99.352,"Diseases of the nervous system complicating pregnancy, second trimester"
O99.353,"Diseases of the nervous system complicating pregnancy, third trimester"
O99.354,Diseases of the nervous system complicating childbirth
O99.355,Diseases of the nervous system complicating the puerperium
O99.411,"Diseases of the circulatory system complicating pregnancy, first trimester"
O99.412,"Diseases of the circulatory system complicating pregnancy, second trimester"
O99.413,"Diseases of the circulatory system complicating pregnancy, third trimester"
O99.419,"Diseases of the circulatory system complicating pregnancy, unspecified trimester"
O99.42,Diseases of the circulatory system complicating childbirth
O99.43,Diseases of the circulatory system complicating the puerperium
O99.511,"Diseases of the respiratory system complicating pregnancy, first trimester"
O99.512,"Diseases of the respiratory system complicating pregnancy, second trimester"
O99.513,"Diseases of the respiratory system complicating pregnancy, third trimester"
O99.519,"Diseases of the respiratory system complicating pregnancy, unspecified trimester"
O99.52,Diseases of the respiratory system complicating childbirth
O99.53,Diseases of the respiratory system complicating the puerperium
O99.611,"Diseases of the digestive system complicating pregnancy, first trimester"
O99.612,"Diseases of the digestive system complicating pregnancy, second trimester"
O99.613,"Diseases of the digestive system complicating pregnancy, third trimester"
O99.619,"Diseases of the digestive system complicating pregnancy, unspecified trimester"
O99.62,Diseases of the digestive system complicating childbirth
O99.63,Diseases of the digestive system complicating the puerperium
O99.711,"Diseases of the skin and subcutaneous tissue complicating pregnancy, first trimester"
O99.712,"Diseases of the skin and subcutaneous tissue complicating pregnancy, second trimester"
O99.713,"Diseases of the skin and subcutaneous tissue complicating pregnancy, third trimester"
O99.719,"Diseases of the skin and subcutaneous tissue complicating pregnancy, unspecified trimester"
O99.72,Diseases of the skin and subcutaneous tissue complicating childbirth
O99.73,Diseases of the skin and subcutaneous tissue complicating the puerperium
O99.810,Abnormal glucose complicating pregnancy
O99.814,Abnormal glucose complicating childbirth
O99.815,Abnormal glucose complicating the puerperium
O99.820,Streptococcus B carrier state complicating pregnancy
O99.824,Streptococcus B carrier state complicating childbirth
O99.825,Streptococcus B carrier state complicating the puerperium
O99.830,Other infection carrier state complicating pregnancy
O99.834,Other infection carrier state complicating childbirth
O99.835,Other infection carrier state complicating the puerperium
O99.840,"Bariatric surgery status complicating pregnancy, unspecified trimester"
O99.841,"Bariatric surgery status complicating pregnancy, first trimester"
O99.842,"Bariatric surgery status complicating pregnancy, second trimester"
O99.843,"Bariatric surgery status complicating pregnancy, third trimester"
O99.844,Bariatric surgery status complicating childbirth
O99.845,Bariatric surgery status complicating the puerperium
O99.891,Other specified diseases and conditions complicating pregnancy
O99.892,Other specified diseases and conditions complicating childbirth
O99.893,Other specified diseases and conditions complicating puerperium
O9A.111,"Malignant neoplasm complicating pregnancy, first trimester"
O9A.112,"Malignant neoplasm complicating pregnancy, second trimester"
O9A.113,"Malignant neoplasm complicating pregnancy, third trimester"
O9A.119,"Malignant neoplasm complicating pregnancy, unspecified trimester"
O9A.12,Malignant neoplasm complicating childbirth
O9A.13,Malignant neoplasm complicating the puerperium
O9A.211,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, first trimester"
O9A.212,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, second trimester"
O9A.213,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, third trimester"
O9A.219,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, unspecified trimester"
O9A.22,"Injury, poisoning and certain other consequences of external causes complicating childbirth"
O9A.23,"Injury, poisoning and certain other consequences of external causes complicating the puerperium"
O9A.311,"Physical abuse complicating pregnancy, first trimester"
O9A.312,"Physical abuse complicating pregnancy, second trimester"
O9A.313,"Physical abuse complicating pregnancy, third trimester"
O9A.319,"Physical abuse complicating pregnancy, unspecified trimester"
O9A.32,Physical abuse complicating childbirth
O9A.33,Physical abuse complicating the puerperium
O9A.411,"Sexual abuse complicating pregnancy, first trimester"
O9A.412,"Sexual abuse complicating pregnancy, second trimester"
O9A.413,"Sexual abuse complicating pregnancy, third trimester"
O9A.419,"Sexual abuse complicating pregnancy, unspecified trimester"
O9A.42,Sexual abuse complicating childbirth
O9A.43,Sexual abuse complicating the puerperium
O9A.511,"Psychological abuse complicating pregnancy, first trimester"
O9A.512,"Psychological abuse complicating pregnancy, second trimester"
O9A.513,"Psychological abuse complicating pregnancy, third trimester"
O9A.519,"Psychological abuse complicating pregnancy, unspecified trimester"
O9A.52,Psychological abuse complicating childbirth
O9A.53,Psychological abuse complicating the puerperium
P54.6,Neonatal vaginal hemorrhage
Q50.01,"Congenital absence of ovary, unilateral"
Q50.02,"Congenital absence of ovary, bilateral"
Q50.1,Developmental ovarian cyst
Q50.2,Congenital torsion of ovary
Q50.31,Accessory ovary
Q50.32,Ovarian streak
Q50.39,Other congenital malformation of ovary
Q50.4,Embryonic cyst of fallopian tube
Q50.5,Embryonic cyst of broad ligament
Q50.6,Other congenital malformations of fallopian tube and broad ligament
Q51.0,Agenesis and aplasia of uterus
Q51.10,Doubling of uterus with doubling of cervix and vagina without obstruction
Q51.11,Doubling of uterus with doubling of cervix and vagina with obstruction
Q51.21,Complete doubling of uterus
Q51.22,Partial doubling of uterus
Q51.28,Other and unspecified doubling of uterus
Q51.3,Bicornate uterus
Q51.4,Unicornate uterus
Q51.5,Agenesis and aplasia of cervix
Q51.6,Embryonic cyst of cervix
Q51.7,Congenital fistulae between uterus and digestive and urinary tracts
Q51.810,Arcuate uterus
Q51.811,Hypoplasia of uterus
Q51.818,Other congenital malformations of uterus
Q51.820,Cervical duplication
Q51.821,Hypoplasia of cervix
Q51.828,Other congenital malformations of cervix
Q51.9,"Congenital malformation of uterus and cervix, unspecified"
Q52.0,Congenital absence of vagina
Q52.10,"Doubling of vagina, unspecified"
Q52.11,Transverse vaginal septum
Q52.120,"Longitudinal vaginal septum, nonobstructing"
Q52.121,"Longitudinal vaginal septum, obstructing, right side"
Q52.122,"Longitudinal vaginal septum, obstructing, left side"
Q52.123,"Longitudinal vaginal septum, microperforate, right side"
Q52.124,"Longitudinal vaginal septum, microperforate, left side"
Q52.129,Other and unspecified longitudinal vaginal septum
Q52.2,Congenital rectovaginal fistula
Q52.3,Imperforate hymen
Q52.4,Other congenital malformations of vagina
Q52.5,Fusion of labia
Q52.6,Congenital malformation of clitoris
Q52.70,Unspecified congenital malformations of vulva
Q52.71,Congenital absence of vulva
Q52.79,Other congenital malformations of vulva
Q52.8,Other specified congenital malformations of female genitalia
Q52.9,"Congenital malformation of female genitalia, unspecified"
Q56.2,"Female pseudohermaphroditism, not elsewhere classified"
Q96.0,"Karyotype 45, X"
Q96.1,"Karyotype 46, X iso (Xq)"
Q96.2,"Karyotype 46, X with abnormal sex chromosome, except iso (Xq)"
Q96.3,"Mosaicism, 45, X/46, XX or XY"
Q96.4,"Mosaicism, 45, X/other cell line(s) with abnormal sex chromosome"
Q96.8,Other variants of Turner's syndrome
Q96.9,"Turner's syndrome, unspecified"
Q97.0,"Karyotype 47, XXX"
Q97.1,Female with more than three X chromosomes
Q97.2,"Mosaicism, lines with various numbers of X chromosomes"
Q97.3,"Female with 46, XY karyotype"
Q97.8,"Other specified sex chromosome abnormalities, female phenotype"
Q97.9,"Sex chromosome abnormality, female phenotype, unspecified"
R87.0,Abnormal level of enzymes in specimens from female genital organs
R87.1,Abnormal level of hormones in specimens from female genital organs
R87.2,"Abnormal level of other drugs, medicaments and biological substances in specimens from female genital organs"
R87.3,Abnormal level of substances chiefly nonmedicinal as to source in specimens from female genital organs
R87.4,Abnormal immunological findings in specimens from female genital organs
R87.5,Abnormal microbiological findings in specimens from female genital organs
R87.610,Atypical squamous cells of undetermined significance on cytologic smear of cervix (ASC-US)
R87.611,Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of cervix (ASC-H)
R87.612,Low grade squamous intraepithelial lesion on cytologic smear of cervix (LGSIL)
R87.613,High grade squamous intraepithelial lesion on cytologic smear of cervix (HGSIL)
R87.614,Cytologic evidence of malignancy on smear of cervix
R87.615,Unsatisfactory cytologic smear of cervix
R87.616,Satisfactory cervical smear but lacking transformation zone
R87.618,Other abnormal cytological findings on specimens from cervix uteri
R87.619,Unspecified abnormal cytological findings in specimens from cervix uteri
R87.620,Atypical squamous cells of undetermined significance on cytologic smear of vagina (ASC-US)
R87.621,Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of vagina (ASC-H)
R87.622,Low grade squamous intraepithelial lesion on cytologic smear of vagina (LGSIL)
R87.623,High grade squamous intraepithelial lesion on cytologic smear of vagina (HGSIL)
R87.624,Cytologic evidence of malignancy on smear of vagina
R87.625,Unsatisfactory cytologic smear of vagina
R87.628,Other abnormal cytological findings on specimens from vagina
R87.629,Unspecified abnormal cytological findings in specimens from vagina
R87.69,Abnormal cytological findings in specimens from other female genital organs
R87.7,Abnormal histological findings in specimens from female genital organs
R87.810,Cervical high risk human papillomavirus (HPV) DNA test positive
R87.811,Vaginal high risk human papillomavirus (HPV) DNA test positive
R87.820,Cervical low risk human papillomavirus (HPV) DNA test positive
R87.821,Vaginal low risk human papillomavirus (HPV) DNA test positive
R87.89,Other abnormal findings in specimens from female genital organs
R87.9,Unspecified abnormal finding in specimens from female genital organs
S30.202A,"Contusion of unspecified external genital organ, female, initial encounter"
S30.202D,"Contusion of unspecified external genital organ, female, subsequent encounter"
S30.202S,"Contusion of unspecified external genital organ, female, sequela"
S30.23XA,"Contusion of vagina and vulva, initial encounter"
S30.23XD,"Contusion of vagina and vulva, subsequent encounter"
S30.23XS,"Contusion of vagina and vulva, sequela"
S30.814A,"Abrasion of vagina and vulva, initial encounter"
S30.814D,"Abrasion of vagina and vulva, subsequent encounter"
S30.814S,"Abrasion of vagina and vulva, sequela"
S30.816A,"Abrasion of unspecified external genital organs, female, initial encounter"
S30.816D,"Abrasion of unspecified external genital organs, female, subsequent encounter"
S30.816S,"Abrasion of unspecified external genital organs, female, sequela"
S30.824A,"Blister (nonthermal) of vagina and vulva, initial encounter"
S30.824D,"Blister (nonthermal) of vagina and vulva, subsequent encounter"
S30.824S,"Blister (nonthermal) of vagina and vulva, sequela"
S30.826A,"Blister (nonthermal) of unspecified external genital organs, female, initial encounter"
S30.826D,"Blister (nonthermal) of unspecified external genital organs, female, subsequent encounter"
S30.826S,"Blister (nonthermal) of unspecified external genital organs, female, sequela"
S30.844A,"External constriction of vagina and vulva, initial encounter"
S30.844D,"External constriction of vagina and vulva, subsequent encounter"
S30.844S,"External constriction of vagina and vulva, sequela"
S30.846A,"External constriction of unspecified external genital organs, female, initial encounter"
S30.846D,"External constriction of unspecified external genital organs, female, subsequent encounter"
S30.846S,"External constriction of unspecified external genital organs, female, sequela"
S30.854A,"Superficial foreign body of vagina and vulva, initial encounter"
S30.854D,"Superficial foreign body of vagina and vulva, subsequent encounter"
S30.854S,"Superficial foreign body of vagina and vulva, sequela"
S30.856A,"Superficial foreign body of unspecified external genital organs, female, initial encounter"
S30.856D,"Superficial foreign body of unspecified external genital organs, female, subsequent encounter"
S30.856S,"Superficial foreign body of unspecified external genital organs, female, sequela"
S30.864A,"Insect bite (nonvenomous) of vagina and vulva, initial encounter"
S30.864D,"Insect bite (nonvenomous) of vagina and vulva, subsequent encounter"
S30.864S,"Insect bite (nonvenomous) of vagina and vulva, sequela"
S30.866A,"Insect bite (nonvenomous) of unspecified external genital organs, female, initial encounter"
S30.866D,"Insect bite (nonvenomous) of unspecified external genital organs, female, subsequent encounter"
S30.866S,"Insect bite (nonvenomous) of unspecified external genital organs, female, sequela"
S30.874A,"Other superficial bite of vagina and vulva, initial encounter"
S30.874D,"Other superficial bite of vagina and vulva, subsequent encounter"
S30.874S,"Other superficial bite of vagina and vulva, sequela"
S30.876A,"Other superficial bite of unspecified external genital organs, female, initial encounter"
S30.876D,"Other superficial bite of unspecified external genital organs, female, subsequent encounter"
S30.876S,"Other superficial bite of unspecified external genital organs, female, sequela"
S30.95XA,"Unspecified superficial injury of vagina and vulva, initial encounter"
S30.95XD,"Unspecified superficial injury of vagina and vulva, subsequent encounter"
S30.95XS,"Unspecified superficial injury of vagina and vulva, sequela"
S30.97XA,"Unspecified superficial injury of unspecified external genital organs, female, initial encounter"
S30.97XD,"Unspecified superficial injury of unspecified external genital organs, female, subsequent encounter"
S30.97XS,"Unspecified superficial injury of unspecified external genital organs, female, sequela"
S31.40XA,"Unspecified open wound of vagina and vulva, initial encounter"
S31.40XD,"Unspecified open wound of vagina and vulva, subsequent encounter"
S31.40XS,"Unspecified open wound of vagina and vulva, sequela"
S31.41XA,"Laceration without foreign body of vagina and vulva, initial encounter"
S31.41XD,"Laceration without foreign body of vagina and vulva, subsequent encounter"
S31.41XS,"Laceration without foreign body of vagina and vulva, sequela"
S31.42XA,"Laceration with foreign body of vagina and vulva, initial encounter"
S31.42XD,"Laceration with foreign body of vagina and vulva, subsequent encounter"
S31.42XS,"Laceration with foreign body of vagina and vulva, sequela"
S31.43XA,"Puncture wound without foreign body of vagina and vulva, initial encounter"
S31.43XD,"Puncture wound without foreign body of vagina and vulva, subsequent encounter"
S31.43XS,"Puncture wound without foreign body of vagina and vulva, sequela"
S31.44XA,"Puncture wound with foreign body of vagina and vulva, initial encounter"
S31.44XD,"Puncture wound with foreign body of vagina and vulva, subsequent encounter"
S31.44XS,"Puncture wound with foreign body of vagina and vulva, sequela"
S31.45XA,"Open bite of vagina and vulva, initial encounter"
S31.45XD,"Open bite of vagina and vulva, subsequent encounter"
S31.45XS,"Open bite of vagina and vulva, sequela"
S31.502A,"Unspecified open wound of unspecified external genital organs, female, initial encounter"
S31.502D,"Unspecified open wound of unspecified external genital organs, female, subsequent encounter"
S31.502S,"Unspecified open wound of unspecified external genital organs, female, sequela"
S31.512A,"Laceration without foreign body of unspecified external genital organs, female, initial encounter"
S31.512D,"Laceration without foreign body of unspecified external genital organs, female, subsequent encounter"
S31.512S,"Laceration without foreign body of unspecified external genital organs, female, sequela"
S31.522A,"Laceration with foreign body of unspecified external genital organs, female, initial encounter"
S31.522D,"Laceration with foreign body of unspecified external genital organs, female, subsequent encounter"
S31.522S,"Laceration with foreign body of unspecified external genital organs, female, sequela"
S31.532A,"Puncture wound without foreign body of unspecified external genital organs, female, initial encounter"
S31.532D,"Puncture wound without foreign body of unspecified external genital organs, female, subsequent encounter"
S31.532S,"Puncture wound without foreign body of unspecified external genital organs, female, sequela"
S31.542A,"Puncture wound with foreign body of unspecified external genital organs, female, initial encounter"
S31.542D,"Puncture wound with foreign body of unspecified external genital organs, female, subsequent encounter"
S31.542S,"Puncture wound with foreign body of unspecified external genital organs, female, sequela"
S31.552A,"Open bite of unspecified external genital organs, female, initial encounter"
S31.552D,"Open bite of unspecified external genital organs, female, subsequent encounter"
S31.552S,"Open bite of unspecified external genital organs, female, sequela"
S35.531A,"Injury of right uterine artery, initial encounter"
S35.531D,"Injury of right uterine artery, subsequent encounter"
S35.531S,"Injury of right uterine artery, sequela"
S35.532A,"Injury of left uterine artery, initial encounter"
S35.532D,"Injury of left uterine artery, subsequent encounter"
S35.532S,"Injury of left uterine artery, sequela"
S35.533A,"Injury of unspecified uterine artery, initial encounter"
S35.533D,"Injury of unspecified uterine artery, subsequent encounter"
S35.533S,"Injury of unspecified uterine artery, sequela"
S35.534A,"Injury of right uterine vein, initial encounter"
S35.534D,"Injury of right uterine vein, subsequent encounter"
S35.534S,"Injury of right uterine vein, sequela"
S35.535A,"Injury of left uterine vein, initial encounter"
S35.535D,"Injury of left uterine vein, subsequent encounter"
S35.535S,"Injury of left uterine vein, sequela"
S35.536A,"Injury of unspecified uterine vein, initial encounter"
S35.536D,"Injury of unspecified uterine vein, subsequent encounter"
S35.536S,"Injury of unspecified uterine vein, sequela"
S37.401A,"Unspecified injury of ovary, unilateral, initial encounter"
S37.401D,"Unspecified injury of ovary, unilateral, subsequent encounter"
S37.401S,"Unspecified injury of ovary, unilateral, sequela"
S37.402A,"Unspecified injury of ovary, bilateral, initial encounter"
S37.402D,"Unspecified injury of ovary, bilateral, subsequent encounter"
S37.402S,"Unspecified injury of ovary, bilateral, sequela"
S37.409A,"Unspecified injury of ovary, unspecified, initial encounter"
S37.409D,"Unspecified injury of ovary, unspecified, subsequent encounter"
S37.409S,"Unspecified injury of ovary, unspecified, sequela"
S37.421A,"Contusion of ovary, unilateral, initial encounter"
S37.421D,"Contusion of ovary, unilateral, subsequent encounter"
S37.421S,"Contusion of ovary, unilateral, sequela"
S37.422A,"Contusion of ovary, bilateral, initial encounter"
S37.422D,"Contusion of ovary, bilateral, subsequent encounter"
S37.422S,"Contusion of ovary, bilateral, sequela"
S37.429A,"Contusion of ovary, unspecified, initial encounter"
S37.429D,"Contusion of ovary, unspecified, subsequent encounter"
S37.429S,"Contusion of ovary, unspecified, sequela"
S37.431A,"Laceration of ovary, unilateral, initial encounter"
S37.431D,"Laceration of ovary, unilateral, subsequent encounter"
S37.431S,"Laceration of ovary, unilateral, sequela"
S37.432A,"Laceration of ovary, bilateral, initial encounter"
S37.432D,"Laceration of ovary, bilateral, subsequent encounter"
S37.432S,"Laceration of ovary, bilateral, sequela"
S37.439A,"Laceration of ovary, unspecified, initial encounter"
S37.439D,"Laceration of ovary, unspecified, subsequent encounter"
S37.439S,"Laceration of ovary, unspecified, sequela"
S37.491A,"Other injury of ovary, unilateral, initial encounter"
S37.491D,"Other injury of ovary, unilateral, subsequent encounter"
S37.491S,"Other injury of ovary, unilateral, sequela"
S37.492A,"Other injury of ovary, bilateral, initial encounter"
S37.492D,"Other injury of ovary, bilateral, subsequent encounter"
S37.492S,"Other injury of ovary, bilateral, sequela"
S37.499A,"Other injury of ovary, unspecified, initial encounter"
S37.499D,"Other injury of ovary, unspecified, subsequent encounter"
S37.499S,"Other injury of ovary, unspecified, sequela"
S37.501A,"Unspecified injury of fallopian tube, unilateral, initial encounter"
S37.501D,"Unspecified injury of fallopian tube, unilateral, subsequent encounter"
S37.501S,"Unspecified injury of fallopian tube, unilateral, sequela"
S37.502A,"Unspecified injury of fallopian tube, bilateral, initial encounter"
S37.502D,"Unspecified injury of fallopian tube, bilateral, subsequent encounter"
S37.502S,"Unspecified injury of fallopian tube, bilateral, sequela"
S37.509A,"Unspecified injury of fallopian tube, unspecified, initial encounter"
S37.509D,"Unspecified injury of fallopian tube, unspecified, subsequent encounter"
S37.509S,"Unspecified injury of fallopian tube, unspecified, sequela"
S37.511A,"Primary blast injury of fallopian tube, unilateral, initial encounter"
S37.511D,"Primary blast injury of fallopian tube, unilateral, subsequent encounter"
S37.511S,"Primary blast injury of fallopian tube, unilateral, sequela"
S37.512A,"Primary blast injury of fallopian tube, bilateral, initial encounter"
S37.512D,"Primary blast injury of fallopian tube, bilateral, subsequent encounter"
S37.512S,"Primary blast injury of fallopian tube, bilateral, sequela"
S37.519A,"Primary blast injury of fallopian tube, unspecified, initial encounter"
S37.519D,"Primary blast injury of fallopian tube, unspecified, subsequent encounter"
S37.519S,"Primary blast injury of fallopian tube, unspecified, sequela"
S37.521A,"Contusion of fallopian tube, unilateral, initial encounter"
S37.521D,"Contusion of fallopian tube, unilateral, subsequent encounter"
S37.521S,"Contusion of fallopian tube, unilateral, sequela"
S37.522A,"Contusion of fallopian tube, bilateral, initial encounter"
S37.522D,"Contusion of fallopian tube, bilateral, subsequent encounter"
S37.522S,"Contusion of fallopian tube, bilateral, sequela"
S37.529A,"Contusion of fallopian tube, unspecified, initial encounter"
S37.529D,"Contusion of fallopian tube, unspecified, subsequent encounter"
S37.529S,"Contusion of fallopian tube, unspecified, sequela"
S37.531A,"Laceration of fallopian tube, unilateral, initial encounter"
S37.531D,"Laceration of fallopian tube, unilateral, subsequent encounter"
S37.531S,"Laceration of fallopian tube, unilateral, sequela"
S37.532A,"Laceration of fallopian tube, bilateral, initial encounter"
S37.532D,"Laceration of fallopian tube, bilateral, subsequent encounter"
S37.532S,"Laceration of fallopian tube, bilateral, sequela"
S37.539A,"Laceration of fallopian tube, unspecified, initial encounter"
S37.539D,"Laceration of fallopian tube, unspecified, subsequent encounter"
S37.539S,"Laceration of fallopian tube, unspecified, sequela"
S37.591A,"Other injury of fallopian tube, unilateral, initial encounter"
S37.591D,"Other injury of fallopian tube, unilateral, subsequent encounter"
S37.591S,"Other injury of fallopian tube, unilateral, sequela"
S37.592A,"Other injury of fallopian tube, bilateral, initial encounter"
S37.592D,"Other injury of fallopian tube, bilateral, subsequent encounter"
S37.592S,"Other injury of fallopian tube, bilateral, sequela"
S37.599A,"Other injury of fallopian tube, unspecified, initial encounter"
S37.599D,"Other injury of fallopian tube, unspecified, subsequent encounter"
S37.599S,"Other injury of fallopian tube, unspecified, sequela"
S37.60XA,"Unspecified injury of uterus, initial encounter"
S37.60XD,"Unspecified injury of uterus, subsequent encounter"
S37.60XS,"Unspecified injury of uterus, sequela"
S37.62XA,"Contusion of uterus, initial encounter"
S37.62XD,"Contusion of uterus, subsequent encounter"
S37.62XS,"Contusion of uterus, sequela"
S37.63XA,"Laceration of uterus, initial encounter"
S37.63XD,"Laceration of uterus, subsequent encounter"
S37.63XS,"Laceration of uterus, sequela"
S37.69XA,"Other injury of uterus, initial encounter"
S37.69XD,"Other injury of uterus, subsequent encounter"
S37.69XS,"Other injury of uterus, sequela"
S38.002A,"Crushing injury of unspecified external genital organs, female, initial encounter"
S38.002D,"Crushing injury of unspecified external genital organs, female, subsequent encounter"
S38.002S,"Crushing injury of unspecified external genital organs, female, sequela"
S38.03XA,"Crushing injury of vulva, initial encounter"
S38.03XD,"Crushing injury of vulva, subsequent encounter"
S38.03XS,"Crushing injury of vulva, sequela"
S38.211A,"Complete traumatic amputation of female external genital organs, initial encounter"
S38.211D,"Complete traumatic amputation of female external genital organs, subsequent encounter"
S38.211S,"Complete traumatic amputation of female external genital organs, sequela"
S38.212A,"Partial traumatic amputation of female external genital organs, initial encounter"
S38.212D,"Partial traumatic amputation of female external genital organs, subsequent encounter"
S38.212S,"Partial traumatic amputation of female external genital organs, sequela"
T19.2XXA,"Foreign body in vulva and vagina, initial encounter"
T19.2XXD,"Foreign body in vulva and vagina, subsequent encounter"
T19.2XXS,"Foreign body in vulva and vagina, sequela"
T19.3XXA,"Foreign body in uterus, initial encounter"
T19.3XXD,"Foreign body in uterus, subsequent encounter"
T19.3XXS,"Foreign body in uterus, sequela"
T21.07XA,"Burn of unspecified degree of female genital region, initial encounter"
T21.07XD,"Burn of unspecified degree of female genital region, subsequent encounter"
T21.07XS,"Burn of unspecified degree of female genital region, sequela"
T21.17XA,"Burn of first degree of female genital region, initial encounter"
T21.17XD,"Burn of first degree of female genital region, subsequent encounter"
T21.17XS,"Burn of first degree of female genital region, sequela"
T21.27XA,"Burn of second degree of female genital region, initial encounter"
T21.27XD,"Burn of second degree of female genital region, subsequent encounter"
T21.27XS,"Burn of second degree of female genital region, sequela"
T21.37XA,"Burn of third degree of female genital region, initial encounter"
T21.37XD,"Burn of third degree of female genital region, subsequent encounter"
T21.37XS,"Burn of third degree of female genital region, sequela"
